id,title,description,availability,condition,price,link,image_link
1,"Solid Maroon","Korean raw silk for shirt and trousers, silk dupatta, hand work of stones and sequence on shirt. Organza lace on dupatta. Stitched 3-piece. Availabke in any customizable size.",in stock,new,14200 PKR,https://mstitch.pk/product?id=1,https://mstitch.pk/content/IMG-20251024-WA0018%20(1).jpg
5,"Lailac chicken Kari","chicken kari shirt summer cotton trousers(breathable fabric) Lawn embroidred dupatta with organza border embroided patch work on sleeves and backside of shirt. tassels also attached, u can add on a silk or chifoon gupattra. Available in all sizes.",in stock,new,9450 PKR,https://mstitch.pk/product?id=5,https://mstitch.pk/content/IMG-20260413-WA0053.jpg
6,"White Rose","Fabric Korean raw silk frock and trousers Medium silk dupatta 5 yards گھیر of frock Beautiful premium quality laces on frock and dupatta can be customised in any colour and size",in stock,new,35000 PKR,https://mstitch.pk/product?id=6,https://mstitch.pk/content/9AI.jpg
7,"Solid Navy Blue","Tailor stitched 3 piece Summer Cotton navy blue shirt with matching shalwar and Shifoon Printed dupatta. Available in all sizes.",in stock,new,6300 PKR,https://mstitch.pk/product?id=7,https://mstitch.pk/content/IMG-20260413-WA0080.jpg
8,"Peach Pink Chicken Kari","Tailor stitched 3 piece outfit. Premium Chicken Kari shirt, Summer cotton trousers, Milky laces on shirt, trousers and dupatta. Organza border on dupatta, Pearl tessels on sleves. Available in all sizes.",in stock,new,9350 PKR,https://mstitch.pk/product?id=8,https://mstitch.pk/content/3AI.jpg
9,"Off white chicken kari","Off white printed chicken kari shirt. Summer cotton trousers. Milky laces on shirt and trousers. Inner attached. Double shade medium silk dupatta. Light suit for comfortable summer wear. You can also add a shifoon dupatta. 3 piece Tailor stitched Suit",in stock,new,9350 PKR,https://mstitch.pk/product?id=9,https://mstitch.pk/content/IMG-20260413-WA0061.jpg
2,"Mustard Shirt with Shalwar.","Tailor Stitched 2 piece outfit, Premium Lawn for shirt and self print cotton for shalwar. Sequence on necklace. Available in all size.",in stock,new,3250 PKR,https://mstitch.pk/product?id=2,https://mstitch.pk/content/IMG-20251024-WA0040%20(1).jpg
3,"Garden Green","Tailor stitched 3 piece outfit. Premium lawn shirt and trousers. Milky lace on hem and sleeves. Dyed shifoon dupatta. Size customization available. Available in all sizes.",in stock,new,3950 PKR,https://mstitch.pk/product?id=3,https://mstitch.pk/content/IMG-20251024-WA0031%20(1).jpg
4,"Beige shirt with shalwar","Tailor stitched 2 piece outfir. Premium lawn for shirt, Summer cotton for farshi shalwar, milky lace and pearl tassels. Available in all sizes.",in stock,new,3500 PKR,https://mstitch.pk/product?id=4,https://mstitch.pk/content/IMG-20251024-WA0038%20(1).jpg
11,"Chandani","Fabric: Raw Silk, Medium Silk Dupatta. Stone work on neckline, hem and sleeves. 4 side lace on dupatta. Can be customised in any colour and size.",in stock,new,10500 PKR,https://mstitch.pk/product?id=11,https://mstitch.pk/content/6AI.jpg
